loanword,language,answer
Sheikh,Arabic,Ruler or leader of a group of people
Bok Choi,Cantonese Chinese,White leafy vegetable
Chow mein,Cantonese Chinese,Fried noodles
Dim sum,Cantonese Chinese,Touch the heart
Kung Fu,Mandarin Chinese,Time spent on skillful work
Tofu,Mandarin Chinese,Fermented bean
Yin Yang,Mandarin Chinese,Shady side sunny side
Wildebeest,Dutch,Wild beast
Yacht,Dutch,Hunt
Baguette,French,Any long stick like object
Bon voyage,French,Good trip
Cafe,French,Coffee
Creme brulee,French,Burnt cream
Cul-de-sac,French,Bottom of the sack
Deja Vu,French,Already seen
Facade,French,Front face of a building
Faux pas,French,False step
Haute couture,French,High sewing
Hor d'oeuvre,French,Out of work
Renaissance,French,Rebirth
Rendezvous,French,You go / Present yourself
Resume,French,Summary
Risque,French,Risky
RSVP,French,Please respond
Touche,French,Touch emotionally
Voila,French,See there
Blitzkrieg,German,Lightning war
Delicatessen,German,Fancy/fine food
Doppelganger,German,Double Walker
Gesundheit,German,Health
Hamburger,German,Someone from Hamburg
Kindergarten,German,Children garden
Poltergeist,German,noisy ghost
Sauerkraut,German,Sour cabbage
Wanderlust,German,Desire for wandering
Basmati,Hindi,Fragrant
Jungle,Hindi,Wasteland / Uncultivated ground
Pyjamas,Hindi,Loose leg wear
A capella,Italian,In chapel style
Al dente,Italian,To the tooth
Falsetto,Italian,Little false
Latte,Italian,Milk
Latte macchiato,Italian,Stained milk
Maestro,Italian,Master
Manifesto,Italian,Poster/Notice
Opera,Italian,Work
Prima donna,Italian,First lady
Stiletto,Italian,Little stylus/needle
Terra cotta,Italian,Baked earth
Vermicelli,Italian,Little worms
Emoji,Japanese,Picture character
Kamikaze,Japanese,Divine wind
Karaoke,Japanese,Empty orchestra
Karate,Japanese,Open hand
Ninja,Japanese,Spy
Origami,Japanese,Paper folding
Tycoon,Japanese,Great prince / High commander
Taekwondo,Korean,Kick fist art
Feng shui,Mandarin Chinese,Wind water
Bossa nova,Portugese,New wave
Shiv,Romany,Blade
Soviet,Russian,Council / Assembly / Union
Babushka,Russian,Grandma
Aficionado,Spanish,Amateur
Bodega,Spanish,Cellar
Burrito,Spanish,Little Donkey
Cafeteria,Spanish,Coffee shop
Guerrilla,Spanish,Little war
Macho,Spanish,Male
Mosquito,Spanish,Little fly
Patio,Spanish,Outdoorspace / courtyard / playground
Salsa,Spanish,Sauce
Smorgasbord,Swedish,Sandwich table
Tungsten,Swedish,Heavy stone
Curry,Tamil,Sauce
Penguin,Welsh,White head
Spiel,Yiddish,Play